timestamp,total_load_MW,zone_id,is_estimated,estimation_method,temporal_granularity,updated_at,created_at,emission_factor_type
2022-01-02 12:00:00+00:00,871418.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:09.420Z,
2022-01-02 13:00:00+00:00,851548.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.859Z,2025-06-30T10:17:56.716Z,
2022-01-02 14:00:00+00:00,847502.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:09.420Z,
2022-01-02 15:00:00+00:00,815661.0,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:18:08.396Z,
2022-01-02 16:00:00+00:00,818034.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:18.178Z,
2022-01-02 17:00:00+00:00,803819.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:18:08.396Z,
2022-01-02 18:00:00+00:00,818317.25,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.859Z,2025-06-30T10:19:18.178Z,
2022-01-02 19:00:00+00:00,810173.56,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:18.178Z,
2022-01-02 20:00:00+00:00,840663.6,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.859Z,2025-06-30T10:19:18.178Z,
2022-01-02 21:00:00+00:00,851960.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.859Z,2025-06-30T10:18:08.396Z,
2022-01-02 22:00:00+00:00,848851.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:05.820Z,
2022-01-02 23:00:00+00:00,877861.6,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:18.178Z,
2022-01-03 00:00:00+00:00,1009968.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 01:00:00+00:00,1029122.75,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:18.178Z,
2022-01-03 02:00:00+00:00,1051934.1,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:19:18.178Z,
2022-01-03 03:00:00+00:00,1037320.25,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:18:05.820Z,
2022-01-03 04:00:00+00:00,1034627.75,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 05:00:00+00:00,1029183.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:19:18.178Z,
2022-01-03 06:00:00+00:00,1001001.2,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 07:00:00+00:00,975476.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 08:00:00+00:00,960897.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 09:00:00+00:00,928850.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:54.788Z,2025-06-30T10:18:05.820Z,
2022-01-03 10:00:00+00:00,886505.6,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:19:18.178Z,
2022-01-03 11:00:00+00:00,920241.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:18:08.396Z,
2022-01-03 12:00:00+00:00,902190.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 13:00:00+00:00,885208.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:05.820Z,
2022-01-03 14:00:00+00:00,879336.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:19:18.178Z,
2022-01-03 15:00:00+00:00,854667.94,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:18:05.820Z,
2022-01-03 16:00:00+00:00,857892.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:19:18.178Z,
2022-01-03 17:00:00+00:00,846394.0,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 18:00:00+00:00,828213.4,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:19:18.178Z,
2022-01-03 19:00:00+00:00,830995.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:19:18.178Z,
2022-01-03 20:00:00+00:00,840044.2,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:05.820Z,
2022-01-03 21:00:00+00:00,840279.4,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:18:08.396Z,
2022-01-03 22:00:00+00:00,857229.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:18:05.820Z,
2022-01-03 23:00:00+00:00,895082.75,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.285Z,2025-06-30T10:19:18.178Z,
2022-01-04 00:00:00+00:00,956416.9,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:18:08.396Z,
2022-01-04 01:00:00+00:00,952775.7,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:18.178Z,
2022-01-04 02:00:00+00:00,977593.1,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:19:18.178Z,
2022-01-04 03:00:00+00:00,998311.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:05.820Z,
2022-01-04 04:00:00+00:00,974270.25,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:05.820Z,
2022-01-04 05:00:00+00:00,993212.2,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:18.178Z,
2022-01-04 06:00:00+00:00,972095.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:11.516Z,
2022-01-04 07:00:00+00:00,963628.9,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:19:24.235Z,
2022-01-04 08:00:00+00:00,958463.56,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:11.516Z,
2022-01-04 09:00:00+00:00,952968.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:19:24.235Z,
2022-01-04 10:00:00+00:00,948903.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:14.352Z,
2022-01-04 11:00:00+00:00,938649.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:11.516Z,
2022-01-04 12:00:00+00:00,929312.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:58.472Z,2025-06-30T10:18:11.516Z,
2022-01-04 13:00:00+00:00,886255.6,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:11.516Z,
2022-01-04 14:00:00+00:00,896831.6,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:11.516Z,
2022-01-04 15:00:00+00:00,887144.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:24.235Z,
2022-01-04 16:00:00+00:00,884312.75,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:14.352Z,
2022-01-04 17:00:00+00:00,867415.25,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:19:24.235Z,
2022-01-04 18:00:00+00:00,851976.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:14.352Z,
2022-01-04 19:00:00+00:00,842845.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:24.235Z,
2022-01-04 20:00:00+00:00,872729.44,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:14.352Z,
2022-01-04 21:00:00+00:00,879179.5,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:11.516Z,
2022-01-04 22:00:00+00:00,906920.9,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:24.235Z,
2022-01-04 23:00:00+00:00,922250.8,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:14.352Z,
2022-01-05 00:00:00+00:00,957085.1,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:18:11.516Z,
2022-01-05 01:00:00+00:00,956311.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:14.352Z,
2022-01-05 02:00:00+00:00,1000935.75,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:11.516Z,
2022-01-05 03:00:00+00:00,1048557.3,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.154Z,2025-06-30T10:18:14.352Z,
2022-01-05 04:00:00+00:00,1043405.06,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:23:02.130Z,2025-06-30T10:19:24.235Z,
