model,horizon,MAE,RMSE
LightGBM,21,27.347944187017703,35.951095160211345
LightGBM,22,25.376000164465818,33.44400315617989
LightGBM,23,22.59629908482579,30.296130325418062
LightGBM,24,21.752195205023572,29.321056347900566
B0_original_HMM_MRGA_LSTM,1,22.547880172729492,28.447268239894317
B0_original_HMM_MRGA_LSTM,2,54.79084014892578,70.62560149080147
B0_original_HMM_MRGA_LSTM,3,56.79315185546875,74.24268692942087
B0_original_HMM_MRGA_LSTM,4,51.42552185058594,68.29729502559015
B0_original_HMM_MRGA_LSTM,5,43.84076690673828,54.74665327599373
B0_original_HMM_MRGA_LSTM,6,64.37911987304688,82.46380894159722
B0_original_HMM_MRGA_LSTM,7,44.77829360961914,56.8717246653049
B0_original_HMM_MRGA_LSTM,8,43.92143249511719,57.78609616643306
B0_original_HMM_MRGA_LSTM,9,72.18218994140625,86.37881571709292
B0_original_HMM_MRGA_LSTM,10,43.662567138671875,56.774557169535676
B0_original_HMM_MRGA_LSTM,11,52.56258010864258,65.33492064331868
B0_original_HMM_MRGA_LSTM,12,63.049137115478516,76.31199452125793
B0_original_HMM_MRGA_LSTM,13,46.74253463745117,61.042055735037096
B0_original_HMM_MRGA_LSTM,14,52.223594665527344,65.64392956154629
B0_original_HMM_MRGA_LSTM,15,62.166648864746094,75.99454197609359
B0_original_HMM_MRGA_LSTM,16,55.92622375488281,70.81499609457731
B0_original_HMM_MRGA_LSTM,17,63.046077728271484,81.46111994381123
B0_original_HMM_MRGA_LSTM,18,49.362274169921875,63.01999698136497
B0_original_HMM_MRGA_LSTM,19,42.28681182861328,55.19267343743982
B0_original_HMM_MRGA_LSTM,20,55.75432586669922,73.20679519881504
B0_original_HMM_MRGA_LSTM,21,52.3280143737793,69.74994399639328
B0_original_HMM_MRGA_LSTM,22,36.18794250488281,44.62224666532309
B0_original_HMM_MRGA_LSTM,23,46.47737121582031,61.361756304059206
B0_original_HMM_MRGA_LSTM,24,49.75741195678711,65.40530935778456
B1_seasonal_residual,1,23.236303329467773,30.613751521604836
B1_seasonal_residual,2,22.755746841430664,30.260262253980674
B1_seasonal_residual,3,20.02416229248047,27.01055362861374
