lag_hours,autocorrelation,lag_naive_MAE,lag_naive_RMSE
1,0.9579204377555998,10.524415674133586,14.547750119203101
24,0.905974022410337,16.29057893120393,21.744918600695197
48,0.8672108183101812,19.489823348694316,25.834989541081946
168,0.8374851986331455,21.49803846153846,28.550761586680785
