model,threshold,direction,validation_F1,Precision,Recall,F1,ROC_AUC,PR_AUC
LightGBM + Platt,0.3066621452424216,normal,0.6623460790667531,0.44309338521400776,0.6615831517792302,0.5307311389455287,0.8624293473826725,0.4960843830541593
LightGBM + Isotonic,0.375,normal,0.6623460790667531,0.44309338521400776,0.6615831517792302,0.5307311389455287,0.8591341101183192,0.4741617190927609
LGBM-LR-LSTM,0.7048765420913696,normal,0.65892972275951,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973
LGBM-LR-LSTM + Platt,0.36100967995380095,normal,0.65892972275951,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973
