model,epoch,loss,val_logloss,val_pr_auc,val_mae
LGBM-LR-LSTM,1,0.5094720231130789,0.35381556969801037,0.7034728963264812,
LGBM-LR-LSTM,2,0.3670629939479286,0.4168318278768056,0.6037142356325775,
LGBM-LR-LSTM,3,0.2820328432378046,0.5569127903562198,0.42854281312894094,
LGBM-LR-LSTM,4,0.22878148064229162,0.46197462384819826,0.4229522015560839,
LGBM-LR-LSTM,5,0.19414713773964706,0.5451329990336514,0.3867228031682993,
B0_original_HMM_MRGA_LSTM,1,0.5864448556676507,,,42.77549743652344
B0_original_HMM_MRGA_LSTM,2,0.4326488506048918,,,33.840309143066406
B0_original_HMM_MRGA_LSTM,3,0.36939182318747044,,,29.976123809814453
B0_original_HMM_MRGA_LSTM,4,0.338799582561478,,,27.716388702392578
B1_seasonal_residual,1,0.6173283150419593,,,20.4220027923584
B1_seasonal_residual,2,0.5428041219711304,,,19.488771438598633
B1_seasonal_residual,3,0.5065104993991554,,,19.129804611206055
B1_seasonal_residual,4,0.4863336142152548,,,18.867046356201172
B2_long_mlp_compression,1,0.6240527918562293,,,43.29954528808594
B2_long_mlp_compression,2,0.4555200298782438,,,33.8418083190918
B2_long_mlp_compression,3,0.3804305912926793,,,30.61156463623047
B2_long_mlp_compression,4,0.3446102000307292,,,28.186716079711914
B3_reduced_HMM_features,1,0.5766346817836165,,,41.69733810424805
B3_reduced_HMM_features,2,0.41631924151442945,,,32.895320892333984
B3_reduced_HMM_features,3,0.36279658577404916,,,29.897184371948242
B3_reduced_HMM_features,4,0.335079338401556,,,27.737533569335938
B4_regression_decoupled,1,0.4736649275291711,,,41.89112854003906
B4_regression_decoupled,2,0.27233051729854196,,,32.100730895996094
B4_regression_decoupled,3,0.1922876755706966,,,27.58255386352539
B4_regression_decoupled,4,0.16889235959388316,,,25.604684829711914
B4_classification_decoupled,1,0.9061641141306609,,,56.72929000854492
B4_classification_decoupled,2,0.7975837111007422,,,57.813865661621094
B4_classification_decoupled,3,0.7134597376571037,,,57.430294036865234
B6_combo_B1_B2_B3,1,0.6439270977862179,,,21.447908401489258
B6_combo_B1_B2_B3,2,0.5513885100372136,,,19.781265258789062
B6_combo_B1_B2_B3,3,0.506969659589231,,,19.188379287719727
B6_combo_B1_B2_B3,4,0.48238354502245784,,,18.739171981811523
B1_HMM_aux_no_gate,1,0.60175651172176,,,20.226810455322266
B1_HMM_aux_no_gate,2,0.5331586690153927,,,19.373123168945312
B1_HMM_aux_no_gate,3,0.5015840113628656,,,18.808612823486328
B1_HMM_aux_no_gate,4,0.47942946664988995,,,18.432477951049805
B7_no_HMM_multiscale_residual,1,10.835014785368612,,,507.2218017578125
B7_no_HMM_multiscale_residual,2,1.5799090336626909,,,510.4025573730469
B7_no_HMM_multiscale_residual,3,1.4145092701348734,,,514.7063598632812
B7_no_HMM_multiscale_residual,4,1.355261122147868,,,506.7299499511719
B7_no_HMM_multiscale_residual,5,1.3234362799351609,,,515.134765625
B7_no_HMM_multiscale_residual,6,1.2972134248478207,,,512.2802124023438
B7_no_HMM_multiscale_residual,7,1.2843166345686425,,,514.35107421875
B7_no_HMM_multiscale_residual,8,1.2659062137753945,,,511.3528137207031
B7_no_HMM_multiscale_residual,9,1.2561779463385034,,,515.81494140625
B7_no_HMM_multiscale_residual,10,1.2415630986371378,,,512.616943359375
B8_causal_HMM_probability_concat,1,11.295755069086871,,,516.4005737304688
B8_causal_HMM_probability_concat,2,1.657006795950762,,,517.150390625
B8_causal_HMM_probability_concat,3,1.4641341506026861,,,508.1674499511719
B8_causal_HMM_probability_concat,4,1.395898493256156,,,515.2281494140625
B8_causal_HMM_probability_concat,5,1.3640319268534502,,,508.7585754394531
B8_causal_HMM_probability_concat,6,1.3299778643555529,,,514.8164672851562
B8_causal_HMM_probability_concat,7,1.3220270064872082,,,511.3927917480469
B8_causal_HMM_probability_concat,8,1.3178525318310956,,,513.3372802734375
B8_causal_HMM_probability_concat,9,1.303766030026233,,,511.79486083984375
B9_Markovian_HMM_state_mixture,1,11.004934636626656,,,524.5325317382812
B9_Markovian_HMM_state_mixture,2,1.570291726607976,,,510.1708068847656
B9_Markovian_HMM_state_mixture,3,1.3715775951625795,,,509.1293640136719
B9_Markovian_HMM_state_mixture,4,1.298063597341222,,,517.6848754882812
B9_Markovian_HMM_state_mixture,5,1.2661152392860473,,,510.0266418457031
B9_Markovian_HMM_state_mixture,6,1.2474107545191848,,,515.5918579101562
B9_Markovian_HMM_state_mixture,7,1.2273498219767893,,,510.1722412109375
B9_Markovian_HMM_state_mixture,8,1.2224488277134933,,,513.4815063476562
B9_Markovian_HMM_state_mixture,9,1.2069336748498631,,,512.9743041992188
B5_LightGBM_deep_residual,1,0.6410878971219063,,,22.941307067871094
B5_LightGBM_deep_residual,2,0.5536972200497985,,,21.73952865600586
B5_LightGBM_deep_residual,3,0.5103613778483123,,,21.367815017700195
B5_LightGBM_deep_residual,4,0.4918363927863538,,,21.086896896362305
