model,experiment_group,experiment_description,model_intro_cn,task_type,regression_task,classification_task,threshold_selection,MAE,RMSE,MAPE,R2,threshold,Precision,Recall,F1,ROC_AUC,PR_AUC,LogLoss,Brier,ECE,CalibrationSlope,CalibrationIntercept
LGBM-LR-LSTM,Logit residual classification,LightGBM 提供基线 logit，多尺度 HMM 辅助 LSTM 只学习样本外基线遗漏的 delta_logit。,对数几率残差分类模型：LightGBM给出基线logit，多尺度HMM辅助LSTM只学习delta_logit修正。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.7048765420913696,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973,0.39169967310575043,0.1339418081159737,0.11427911407355976,0.7513992182332832,-1.0914373827409283
LGBM-LR-LSTM + Platt,Logit residual classification,对 LGBM-LR-LSTM 的最终概率再用独立验证集进行 Platt 校准。,残差分类后校准模型：对LGBM-LR-LSTM输出再做Platt校准，提高风险概率可信度。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.36100967995380095,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973,0.3340998498127841,0.10728179577704346,0.04437462295315652,0.7156067589704759,-0.028698829907299075
LightGBM,Machine-learning baseline,LightGBM predicts the 24-hour carbon trajectory and high-carbon transition probability from tabular lag and rolling features.,LightGBM多任务基线：用滞后与日历表格特征预测未来24小时碳强度及高碳跃迁概率。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,31.304205903229736,41.92500651927665,6.951370313132934,0.522215770678389,0.44706327884497415,0.44309338521400776,0.6615831517792302,0.5307311389455287,0.8624293473826725,0.4960843830541593,0.3716295160596241,0.12246784967917304,0.08997558757542183,0.6492770672283011,-0.9164237352331392
LightGBM + Isotonic,Probability calibration,在独立验证集上用单调分段函数校准 LightGBM 的分类 logit。,概率校准模型：在验证集上用单调分段函数校准LightGBM分类概率，拟合能力更灵活。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.375,0.44309338521400776,0.6615831517792302,0.5307311389455287,0.8591341101183192,0.4741617190927609,0.3657638067598636,0.10647446408373828,0.05580114773205491,0.6161147058121227,-0.5643853170148566
LightGBM + Platt,Probability calibration,在独立验证集上用 Sigmoid 校准 LightGBM 的分类 logit，测试集不参与校准。,概率校准模型：在验证集上用Sigmoid函数校准LightGBM分类概率，不改变样本排序。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.3066621452424216,0.44309338521400776,0.6615831517792302,0.5307311389455287,0.8624293473826725,0.4960843830541593,0.3263165888007787,0.10537641887522238,0.04867670250970145,0.8045118199501113,-0.39823779524386177
