timestamp,hmm_state,hmm_prob_0,hmm_prob_1,hmm_prob_2,hmm_prob_3,hmm_prob_4
2022-01-01 00:00:00+00:00,4,6.895799726791498e-34,0.0,5.73649342949341e-212,0.0,1.0
2022-01-01 01:00:00+00:00,0,0.8165519169544158,2.824844889309493e-99,1.204657310988152e-08,3.592719161242011e-79,0.18344807100382637
2022-01-01 02:00:00+00:00,0,0.9518626260166347,1.207388511815866e-58,4.2639160540642956e-09,8.440913818771939e-32,0.048137369714773656
2022-01-01 03:00:00+00:00,0,0.9812209682591961,5.224635475961932e-47,7.605641240415586e-10,7.344151822802975e-32,0.018779030982888658
2022-01-01 04:00:00+00:00,0,0.9922348524993019,1.9320969933471668e-47,4.3863659936110224e-10,5.529658452240076e-33,0.007765147056169866
2022-01-01 05:00:00+00:00,0,0.9948153206729126,1.0532935905611717e-48,3.2835071834402635e-10,2.490822160120966e-33,0.005184678992670802
2022-01-01 06:00:00+00:00,0,0.9784608404853486,3.15962346785636e-49,6.960903062221569e-10,1.418756535167074e-33,0.02153915881224013
2022-01-01 07:00:00+00:00,0,0.7208260413502333,2.9591089971610487e-49,1.4230982319385852e-09,4.005538739575071e-34,0.2791739572221641
2022-01-01 08:00:00+00:00,4,0.3916650635146781,1.3595857179323905e-50,8.96931126492524e-10,1.0511366359423381e-34,0.6083349355885338
2022-01-01 09:00:00+00:00,4,0.07873745675654423,4.10629439063702e-51,4.92336937529472e-10,1.5068833478317366e-35,0.9212625427471866
2022-01-01 10:00:00+00:00,4,0.010285646183572758,6.1243047162030254e-52,3.659753488603549e-10,4.75259164348152e-36,0.989714353449021
2022-01-01 11:00:00+00:00,4,0.001093460133676201,3.390470916803287e-52,4.453375904104034e-10,2.868816842787626e-36,0.9989065394242205
2022-01-01 12:00:00+00:00,4,0.00024560217563899677,1.939728414560816e-52,4.3156484754332673e-10,2.453919948165975e-36,0.9997543973868734
2022-01-01 13:00:00+00:00,4,0.00016489259636971469,5.699064032637278e-53,3.1407888152110356e-10,1.1896583336946586e-36,0.9998351070874596
2022-01-01 14:00:00+00:00,4,9.915022356090115e-05,1.3227586177309683e-52,4.4670201058018787e-10,1.4414750034755585e-36,0.9999008493295398
2022-01-01 15:00:00+00:00,4,0.00018601100048077862,4.114795332129624e-53,6.751191859184686e-10,9.98942669923278e-37,0.9998139883246941
2022-01-01 16:00:00+00:00,4,0.00016682419228862747,5.78881247163821e-53,3.196960992077741e-10,4.183451809543955e-36,0.9998331754810689
2022-01-01 17:00:00+00:00,4,0.00025602505665730136,4.604710027802197e-53,4.4470842959366246e-10,8.916150359828453e-37,0.9997439745003492
2022-01-01 18:00:00+00:00,4,0.0002524001246387201,2.76213175123285e-53,5.563607347208507e-10,1.6575936323868494e-36,0.9997475993192849
2022-01-01 19:00:00+00:00,4,0.00023421915429452502,6.765065476592734e-53,2.9809695558303703e-10,3.867068205778279e-36,0.9997657805539586
2022-01-01 20:00:00+00:00,4,0.00026354486052086355,2.847309373210135e-52,6.201981282098616e-10,2.4115704415473368e-36,0.9997364545257998
2022-01-01 21:00:00+00:00,4,0.0004899559432197931,8.143473477746455e-52,6.006247064335152e-10,3.633646189526645e-35,0.9995100434608323
2022-01-01 22:00:00+00:00,4,0.002574520145280788,1.5759794027753617e-50,3.70884940528099e-10,3.859562377327671e-34,0.9974254794846947
2022-01-01 23:00:00+00:00,4,0.02575202328232338,7.243663338515962e-50,1.5025558660331847e-09,8.14712171338172e-34,0.9742479752191883
2022-01-02 00:00:00+00:00,4,0.22816307001456612,5.025416164072933e-51,4.8178554531221386e-09,4.610332551267511e-34,0.7718369251711695
