timestamp,hmm_state,hmm_prob_0,hmm_prob_1,hmm_prob_2,hmm_prob_3,hmm_prob_4
2024-07-01 00:00:00+00:00,0,0.9786007301441553,7.020292712697601e-12,0.021399269837239932,6.76129421376652e-32,1.1584564646229672e-11
2024-07-01 01:00:00+00:00,0,0.9964469119925056,1.686873661369003e-13,0.0035530880072925757,1.5281854662181497e-34,3.323157031834169e-14
2024-07-01 02:00:00+00:00,0,0.9986065709095922,1.6977266509393706e-14,0.0013934290903907071,1.55390658082842e-35,9.465701643846104e-18
2024-07-01 03:00:00+00:00,0,0.9901838951047404,3.2877904989555867e-12,0.009816104891972181,3.907901981974358e-33,1.4548141591026192e-17
2024-07-01 04:00:00+00:00,0,0.9837218638389804,1.1916322167221464e-09,0.016278134969386404,2.0030100931683666e-30,1.6731379253647596e-15
2024-07-01 05:00:00+00:00,0,0.6071065015415855,1.1996664932625755e-05,0.39288148731696454,1.4178812363520039e-21,1.4476517480240068e-08
2024-07-01 06:00:00+00:00,2,0.09556269740364445,0.00021359653636063283,0.9042236979892144,3.0747286188035264e-16,8.070780242099688e-09
2024-07-01 07:00:00+00:00,2,0.007725556667872857,0.0041079494148339385,0.988166463938844,5.556449024371885e-14,2.9978393506087775e-08
2024-07-01 08:00:00+00:00,2,0.0010257601905839374,0.01289268223393299,0.9860813391825881,2.0490249587561644e-10,2.1818799227470471e-07
2024-07-01 09:00:00+00:00,2,0.0010399558405360622,0.017686922668014145,0.9812726253437897,2.9180327134374416e-10,4.958558569648957e-07
2024-07-01 10:00:00+00:00,2,0.0007723051589961574,0.04400209619006058,0.9552031913949486,8.860728833060578e-09,2.2398395265749586e-05
2024-07-01 11:00:00+00:00,2,0.0004944663830668781,0.19859639920465338,0.8005825292698283,3.4849464390743124e-07,0.0003262566478075987
2024-07-01 12:00:00+00:00,2,0.0012895919110132187,0.03818053169611615,0.9605290853642983,3.6839975112452155e-10,7.906601728074203e-07
2024-07-01 13:00:00+00:00,2,0.0005616261792039583,0.010114919466774536,0.9893228165674927,8.190070420349984e-10,6.369675218889626e-07
2024-07-01 14:00:00+00:00,2,0.0007377439621934211,0.0030504244334143248,0.9962110646945415,1.4749190955287885e-10,7.667623589716313e-07
2024-07-01 15:00:00+00:00,2,0.0004975780113412344,0.0008453208364373597,0.9986535520596843,9.817144539557521e-12,3.5490827199591205e-06
2024-07-01 16:00:00+00:00,2,0.00045652641889739183,0.00041152524994564837,0.9991272187376918,2.3315196831112777e-13,4.729593231927585e-06
2024-07-01 17:00:00+00:00,2,0.00045516033424269344,0.00033890376615824697,0.9991972853640683,8.794485858652139e-14,8.650535442769768e-06
2024-07-01 18:00:00+00:00,2,0.0005351232635750305,0.00010385707189395523,0.999354776622334,2.1525355028153307e-14,6.243042175520949e-06
2024-07-01 19:00:00+00:00,2,0.0006811593982670825,3.0513145995279774e-05,0.9992849578229991,1.0405964814799695e-15,3.3696327375968075e-06
2024-07-01 20:00:00+00:00,2,0.0010186068487271955,8.734744512652554e-06,0.9989718960556848,1.2032901430967633e-17,7.623510753945072e-07
2024-07-01 21:00:00+00:00,2,0.0009391300594411444,1.836475529096072e-05,0.9990421911372844,7.497700525579701e-17,3.140479834593684e-07
