hmm_state,sample_count,current_carbon_mean,future_1h_mean,future_6h_mean,future_12h_mean,future_24h_mean,future_24h_high_rate
0,22477,516.0648218178583,516.4121101570495,517.2861072800345,517.7580934584983,517.4328684136377,0.3232637807536593
1,15741,541.2335937996315,541.4112191093324,541.6102323020561,541.7534305317324,541.9960744764204,0.2073565847150753
2,15920,549.1586683417086,549.3056532663317,549.5875523450586,549.7189646147403,549.2766384003351,0.44918341708542714
3,14075,561.590621669627,561.3853641207816,561.0119478981646,560.8988632326821,561.1301154529307,0.3277442273534636
4,9931,609.492296848253,608.4713523310845,606.2279730137952,604.8534051622864,605.5397450743463,0.9753297754506092
